"No","New Name Store","Tanggal Order","No.Order","CDT","PI","Tax 10%","PI+Tax 10%","So","Selisih"
"1","011 - Cempaka Putih - ZC","Tue, Feb 07,2017, 00:00","101121119","CTRI17010912944521","17525057.63","1752505.763","19277563.393","0","19277563.393"
"2","012 - Duta Merlin - ZC","Tue, Feb 07,2017, 00:00","101221067","CTRI17010912945306","13640387.75","1364038.775","15004426.525","0","15004426.525"
"3","015 - MT. Haryono - ZC","Tue, Feb 07,2017, 00:00","101521704","CTRI17010912942351","5724926.64","572492.664","6297419.304","0","6297419.304"
"4","016 - Megamall Pluit - ZC","Tue, Feb 07,2017, 00:00","101620841","CTRI17010912944817","13047155.26","1304715.526","14351870.786","0","14351870.786"
"5","018 - Cempaka Mas - ZC","Tue, Feb 07,2017, 00:00","101821644","CTRI17010912944292","24341022.26","2434102.226","26775124.486","0","26775124.486"
"6","019 - Lebak Bulus - ZC","Tue, Feb 07,2017, 00:00","101922587","CTRI17010912940001","19697041.24","1969704.124","21666745.364","0","21666745.364"
"7","020 - Puri Indah - ZC","Tue, Feb 07,2017, 00:00","102021478","CTRI17010912941403","21133505.77","2113350.577","23246856.347","0","23246856.347"
"8","021 - Ambassador - ZC","Tue, Feb 07,2017, 00:00","102121377","CTRI17010912946240","12592455.26","1259245.526","13851700.786","0","13851700.786"
"9","024 - Palembang Square - ZC","Tue, Feb 07,2017, 00:00","102421007","CTRI17010912945642","12849769.07","1284976.907","14134745.977","0","14134745.977"
"10","025 - Permata Hijau - ZC","Tue, Feb 07,2017, 00:00","102521372","CTRI17010912947578","7303739.17","730373.917","8034113.087","0","8034113.087"
"11","026 - Medan Fair - ZC","Tue, Feb 07,2017, 00:00","102621546","CTRI17010912946968","19040308.52","1904030.852","20944339.372","0","20944339.372"
"12","027 - Mangga Dua Square - ZC","Tue, Feb 07,2017, 00:00","102720983","CTRI17010912944398","11692392.17","1169239.217","12861631.387","0","12861631.387"
"13","028 - ITC BSD - ZC","Tue, Feb 07,2017, 00:00","102821309","CTRI17010912940284","11920841.67","1192084.167","13112925.837","0","13112925.837"
"14","029 - ITC DEPOK - ZC","Tue, Feb 07,2017, 00:00","102921396","CTRI17010912944020","12922263.69","1292226.369","14214490.059","0","14214490.059"
"15","030 - Panakukang Mas - ZC","Tue, Feb 07,2017, 00:00","103020801","CTRI17010912939779","21835819.3","2183581.93","24019401.23","0","24019401.23"
"16","031 - Taman Palem - ZC","Tue, Feb 07,2017, 00:00","103120775","CTRI17010912939956","11437262.29","1143726.229","12580988.519","0","12580988.519"
"17","033 - Plaza Ambarukmo - ZC","Tue, Feb 07,2017, 00:00","103321446","CTRI17010912942688","13878068.63","1387806.863","15265875.493","0","15265875.493"
"18","034 - Keppel Bubutan - ZC","Tue, Feb 07,2017, 00:00","103420835","CTRI17010912941879","8101432.18","810143.218","8911575.398","0","8911575.398"
"19","035 - Sukajadi - ZC","Tue, Feb 07,2017, 00:00","103520914","CTRI17010912940420","5747341.17","574734.117","6322075.287","0","6322075.287"
"20","036 - Tamini Square - ZC","Tue, Feb 07,2017, 00:00","103621199","CTRI17010912941089","6834933.04","683493.304","7518426.344","0","7518426.344"
"21","037 - ITC Surabaya - ZC","Tue, Feb 07,2017, 00:00","103720459","CTRI17010912946757","2816227.34","281622.734","3097850.074","0","3097850.074"
"22","038 - Kramatjati Indah - ZC","Tue, Feb 07,2017, 00:00","103820606","CTRI17010912941659","4383091.07","438309.107","4821400.177","0","4821400.177"
"23","039 - Blue Mall Bekasi - ZC","Tue, Feb 07,2017, 00:00","103920815","CTRI17010912941148","6071337.48","607133.748","6678471.228","0","6678471.228"
"24","040 - Carrefour Cikarang - ZC","Tue, Feb 07,2017, 00:00","104020365","CTRI17010912947759","5257636.41","525763.641","5783400.051","0","5783400.051"
"25","041 - Kelapa Gading - ZC","Tue, Feb 07,2017, 00:00","104121141","CTRI17010912942322","12882932.22","1288293.222","14171225.442","0","14171225.442"
"26","042 - Carrefour Denpasar - ZC","Tue, Feb 07,2017, 00:00","104221632","CTRI17010912945620","10293582.51","1029358.251","11322940.761","0","11322940.761"
"27","043 - Carrefour Semarang - ZC","Tue, Feb 07,2017, 00:00","104321293","CTRI17010912947145","11070727.59","1107072.759","12177800.349","0","12177800.349"
"28","044 - Kiara Condong - ZC","Tue, Feb 07,2017, 00:00","104421179","CTRI17010912942713","16539178.03","1653917.803","18193095.833","0","18193095.833"
"29","045 - Cibinong - ZC","Tue, Feb 07,2017, 00:00","104520596","CTRI17010912943120","7455159.85","745515.985","8200675.835","0","8200675.835"
"30","046 - Carrefour Kalimas - ZC","Tue, Feb 07,2017, 00:00","104620777","CTRI17010912939875","9180704.65","918070.465","10098775.115","0","10098775.115"
"31","047 - Ciledug - ZC","Tue, Feb 07,2017, 00:00","104720971","CTRI17010912947281","9205767.63","920576.763","10126344.393","0","10126344.393"
"32","051 - Carrefour Buaran - ZC","Tue, Feb 07,2017, 00:00","105121137","CTRI17010912941469","16620400.62","1662040.062","18282440.682","0","18282440.682"
"33","053 - Bekasi Square - ZC","Tue, Feb 07,2017, 00:00","105320544","CTRI17010912941097","2996477.73","299647.773","3296125.503","0","3296125.503"
"34","054 - Carrefour Blok M - ZC","Tue, Feb 07,2017, 00:00","105421031","CTRI17010912940481","9385575.77","938557.577","10324133.347","0","10324133.347"
"35","055 - Carrefour Madiun - ZC","Tue, Feb 07,2017, 00:00","105520529","CTRI17010912946699","5686114.03","568611.403","6254725.433","0","6254725.433"
"36","056 - Carrefour Ciputat - ZC","Tue, Feb 07,2017, 00:00","105620367","CTRI17010912945955","3017421.02","301742.102","3319163.122","0","3319163.122"
